Date,Startup,Industry,Location,Investors,Investment_Type, Amount_USD 
03-04-15,Swiggy,Online Food Delivery,Bangalore,"Accel Partners, SAIF Partners",Private Equity,"20,00,000"
04-04-15,Bluegape,Web Content Publishing,Gurgaon,"Rudy Gopalakrishnan, ah! Ventures",Seed Funding,"2,00,000"
06-04-15,InstaLively,Video Streaming,New Delhi,"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",Seed Funding,"1,20,000"
07-04-15,Pricejugaad,Price Comparison,Hyderabad,"Amit Tyagi, Sandeep Acharya & others",Seed Funding,"1,65,000"
07-04-15,Quikr,Online Classifieds,Mumbai,"Tiger Global, Investment AB Kinnevik, Steadview Capital",Private Equity,"15,00,00,000"
07-04-15,PressPlay,Travel Entertainment,New Delhi,"Sequoia Capital, Jason Hirschhorn, Jarett Posner, and Amit Bhatiani",Seed Funding,"22,00,000"
08-04-15,FirstCry.com,eCommerce,Pune,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,\\xc2\\xa0 SAIF Partners, Vertex Ventures",Private Equity,"1,00,00,000"
08-04-15,MobiKwik,Digital / Mobile Wallet,Gurgaon,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",Private Equity,"2,50,00,000"
08-04-15,Olacabs,Cab Aggregator,Bangalore,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",Private Equity,"40,00,00,000"
09-04-15,Gadgetwood,Device Repair Svcs,New Delhi,"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,\\nNitin Singhal & Others",Seed Funding,"2,00,000"
09-04-15,Bonhomia,Premium Beverages,New Delhi,"Kanwaljit Singh, Shripad Nadkarni, Sarvesh Shahra & Others",Seed Funding,"20,00,000"
09-04-15,Changer Mints,Digital / Mobile Wallet,Kolkata,Hyderabad based investor,Seed Funding,"1,65,000"
09-04-15,Urban Ladder,Online Furnishing\\neCommerce,Bangalore,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",Private Equity,"5,00,00,000"
10-04-15,Whatfix,Interactive\\xc2\\xa0 How-To Guides,Bangalore,"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",Seed Funding,"9,00,000"
11-04-15,Zomato,Restaurant Reviews,Gurgaon,Info Edge (India),Private Equity,"2,50,00,000"
13-04-15,ZopNow,Online Grocer,Bangalore,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",Private Equity,"1,00,00,000"
13-04-15,Nayi Disha,Ed-Tech,New Delhi,"Ajay Relan,",Seed Funding,"3,00,000"
13-04-15,The Porter,Logistics Tech,Mumbai,Kae Capital,Seed Funding,"5,00,000"
13-04-15,Commeasure,Online Hotel Booking,Noida,Jungle Ventures,Seed Funding,"10,00,000"
13-04-15,Capricoast,Online Kitchen Furniture,Bangalore,Accel Partners India,Seed Funding,"12,50,000"
14-04-15,LocalOye,Hyper-local Online Services,Mumbai,"Tiger Global Management, Lightspeed Venture Partners",Private Equity,"50,00,000"
15-04-15,Grofers,Hyper-Local Online/Mobile Grocery,Gurgaon,"Tiger Global, Sequoia Capital",Private Equity,"3,50,00,000"
15-04-15,PepperTap,Hyper-Local Online/Mobile Grocery,Gurgaon,"SAIF Partners, Sequoia Capital",Private Equity,"1,00,00,000"
15-04-15,PolicyBazaar,Online Policy Aggregator,Gurgaon,"PremjiInvest, Tiger Global, Ribbit Capital",Private Equity,"4,00,00,000"
16-04-15,UrbanClap,Hyperlocal Mobile Services Marketplace,New Delhi,"SAIF Partners, Accel Partners, Kunal Bahl, Rohit Bansal",Seed Funding,"16,00,000"
16-04-15,Taskbob,OnDemand\\nMobile Handyman Services,Mumbai,"Orios Venture Partners, Mayfield India",Seed Funding,"12,00,000"
17-04-15,Robosoft,Mobile App Development,Udupi,"Ascent Capital, Kalaari Capital",Private Equity,"1,20,00,000"
20-04-15,Pastiwala,Material Collection & Recycling,Vadodara,Agnus Capital,Private Equity,"40,00,000"
20-04-15,1mg (Healthkartplus),Online Pharmacy & Drug DB,Gurgaon,"Deep Kalra, Sequoia Capital, Omidyar Network, Intel Capital & Kae Capital",Private Equity,"60,00,000"
20-04-15,Freshdesk,Online / Mobile Customer Support,Chennai,"Tiger Global, Google Capital & Accel Partners",Private Equity,"5,00,00,000"
20-04-15,Sulekha.com,Online Classifieds & Listings,Chennai,GIC ventures,Private Equity,"2,80,00,000"
22-04-15,Eat.Shop.Love,Fashion ECommerce,Bangalore,Undisclosed Investor,Private Equity,"35,00,000"
22-04-15,Avanti Learning,Private Coaching Centers,New Delhi,"Michael & Susan Dell Foundation, Pearson Learning Fund",Private Equity,"15,00,000"
23-04-15,Simplilearn,Online Certification Courses,Bangalore,"Mayfield Ventures, Kalaari Capital, Helion Ventures",Private Equity,"1,50,00,000"
23-04-15,Craftstvilla,Ethnic Product eCommerce,Mumbai,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",Private Equity,"1,80,00,000"
23-04-15,HeadOut,Last Minute Travel Deals mobile marketplace,Bangalore / SFO,"Version One Ventures, 500 Startups, Nexus Venture Partners and Arena Ventures",Seed Funding,"18,00,000"
23-04-15,happay,usiness expense management,Bangalore,AngelPrime,Seed Funding,"5,00,000"
23-04-15,Jugnoo,Auto Rickshaw based Logistics,Chandigarh,"Rakesh Mathur, Vikas Taneja & others",Seed Funding,"10,00,000"
24-04-15,Coverfox,Online Insurance Aggregator,Mumbai,"Accel US, Accel India, SAIF Partners.",Private Equity,"1,20,00,000"
27-04-15,Torqus,Restaurant Management Platform,Pune,S S Mukherji & Others,Seed Funding,"3,50,000"
27-04-15,Grab,Food Logistics & Delivery,Mumbai,"Oliphans Capital, Haresh Chawla",Seed Funding,"10,00,000"
27-04-15,LogicRoots,Interactive Educational Games,Jaipur,"Ah! Ventures, Calcutta Angels,\\xc2\\xa0 91SpringBoard",Seed Funding,"4,00,000"
28-04-15,Babajobs,Grey collar Job Board,Bangalore,SEEK Ltd & affiliates,Private Equity,"1,00,00,000"
28-04-15,Jay Robotix,Robotic Program learning,Hyderabad,Cross Border Angels & others,Seed Funding,"2,50,000"
28-04-15,Naaptol.com,Tele-Shopping / eCommerce,Mumbai,Mitsui & Co & existing investors,Private Equity,"2,15,00,000"
29-04-15,ReGlobe,Used Gadgets Buy / Refurbishing,Gurgaon,"Bessemer Ventures, Blume Ventures",Seed Funding,"10,00,000"
29-04-15,Icertis,Cloud Enterprise Software,Pune / US,"Greycroft Partners, Fidelity Growth Partners",Private Equity,"60,00,000"
29-04-15,Tracxn,Startup Analytics platform,Bangalore,SAIF Partners,Private Equity,"35,00,000"
29-04-15,Tradelab,Financial Markets Software,Bangalore,Rainmatter,Seed Funding,"4,00,000"
29-04-15,PiQube,Hiring Analytics platform,Chennai,The HR Fund,Seed Funding,"5,00,000"
29-04-15,Travel Triangle,Online Travel Marketplace,Noida,"Bessemer Venture Partners, SAIF Partners",Private Equity,"80,00,000"
25-05-15,ZenParent,Parents focused Web Content,Bangalore,i2india Ventures,Seed Funding,"5,00,000"
26-05-15,UrbanPro,On-demand Service marketplace,Bangalore,Nirvana Venture Advisors,Private Equity,"20,00,000"
26-05-15,Goodbox,On-Demand Business messaging,Bangalore,Manipal Group,Seed Funding,"2,00,000"
26-05-15,Renderlogy,Online Home D\\xc3\\xa9cor,Hyderabad,Astarc Ventures,Private Equity,"10,00,000"
27-05-15,Postman,API Workflow platform,Bangalore,Nexus Venture Partners,Seed Funding,"10,00,000"
27-05-15,Casa2inns,Affordable Hotel Booking Online,New Delhi,"Accel Partners, Kalaari Capital",Private Equity,"50,00,000"
27-05-15,FleetRover,Logistics Intelligence,Goa,"Tim Chen, Sanjay Venkat",Seed Funding,"1,80,000"
28-05-15,TheKarrier,Last Mile Logistics,Bangalore,"Sol Primero, Outbox Ventures, Nikunj Jain",Seed Funding,"2,40,000"
28-05-15,Zoomcar,Self-driven Car rental,Bangalore,Sequoia Capital,Private Equity,"50,00,000"
30-05-15,Ather Energy,Electric Scooter Manufacturer,Bangalore,Tiger Global,Private Equity,"1,20,00,000"
02-06-16,Atomberg,Technology,Mumbai,Parampara Capital,Private Equity,"10,00,000"
02-06-16,Limo,Consumer Internet,Mumbai,Rainmaker Ventures,Private Equity,"10,00,000"
03-06-16,GoGo Truck,Consumer Internet,Chennai,Undisclosed Investor,Seed Funding,75000
03-06-16,Vyome Biosciences,Healthcare,New Delhi,Romulus Capital,Private Equity,"20,00,000"
06-06-16,SillyMonks,Consumer Internet,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,"4,48,000"
07-06-16,CueMath,Education,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,"40,00,000"
07-06-16,KrazyBee,Consumer Internet,Bangalore,"Yeahmobi, Fenqile",Private Equity,"20,00,000"
07-06-16,Intgrea,Technology,Bangalore,Undisclosed Investor,Seed Funding,"1,00,000"
07-06-16,HelpShift,Technology,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,"2,30,00,000"
07-06-16,CreditVidya,Technology,Mumbai,Kalaari Capital,Private Equity,"10,00,000"
08-06-16,Grey Campus,Consumer Internet,Hyderabad,Sarath Sura,Seed Funding,"10,00,000"
08-06-16,ListUp,eCommerce,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,"5,00,000"
08-06-16,6Degree,Technology,Mumbai,Indian Angel Network,Seed Funding,"2,00,000"
08-06-16,StoreKing,eCommerce,Bangalore,Axiata Digital,Private Equity,"1,60,00,000"
08-06-16,MySeniorDoctor,Consumer Internet,Gurgaon,BlackJag Partners,Seed Funding,"2,00,000"
09-06-16,EPayLater,Technology,Mumbai,3 undisclosed HNIs,Seed Funding,"20,00,000"
10-06-16,Paytunes,Consumer Internet,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,"5,00,000"
13-06-16,Bombay Shirt Company,eCommerce,Mumbai,undisclosed investor,Private Equity,"10,00,000"
01-07-16,Venture Catalysts,Consumer Internet,Mumbai,Zaffiro Ventures,Seed Funding,"5,00,000"
02-07-16,Playment,Consumer Internet,Bangalore,SAIF Partners,Private Equity,"7,00,000"
04-07-16,Curefit,Consumer Internet,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,"1,50,00,000"
04-07-16,StitchWood,eCommerce,Mumbai,Deepak Gupta,Seed Funding,"2,00,000"
04-07-16,Grab.in,Logistics,Mumbai,Aramex Ventures Llc,Private Equity,"20,00,000"
04-07-16,NeoGrowth,Finance,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,"1,60,00,000"
05-07-16,SeeDoc,Consumer Internet,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,"10,00,000"
05-07-16,BookMyShow,Consumer Internet,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,"8,20,00,000"
05-07-16,Flyrobe,eCommerce,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,"17,00,000"
06-07-16,HappilyUnmarried,eCommerce,New Delhi,Info Edge (India) Ltd,Private Equity,"7,40,000"
06-07-16,Don\\xe2\\x80\\x99t Scratch Your Head,Technology,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,"2,50,000"
06-07-16,Wedding Wishlist,Consumer Internet,Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,"2,97,000"
07-07-16,AppDaily,Technology,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,"20,00,000"
07-07-16,Adytude,Consumer Internet,New Delhi,Indian Angel Network,Private Equity,"10,00,000"
08-07-16,HolaChef,Consumer Internet,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"19,50,000"
11-07-16,Purplle,eCommerce,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,"60,00,000"
11-07-16,Trak N Tell,Technology,Gurgaon,Brian Acton,Private Equity,"35,00,000"
